,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Hamilton,75,BM,1554691560,94,32.3,-64.78,68.0,4.7
377,Xam Nua,0,LA,1554692289,70,20.42,104.04,77.76,3.38
378,East London,80,ZA,1554691927,100,-33.02,27.91,72.0,18.25
379,Sigli,8,ID,1554692289,100,5.38,95.96,82.35,1.48
380,Cabedelo,20,BR,1554688800,88,-6.97,-34.84,78.8,2.24
381,Moshenskoye,100,RU,1554692290,98,58.52,34.59,30.24,3.15
382,Hvide Sande,8,DK,1554692075,80,56.01,8.13,39.99,8.05
383,Perevolotskiy,92,RU,1554692290,77,51.88,54.19,44.1,6.73
384,Ciudad Bolivar,24,VE,1554692290,47,8.12,-63.55,85.05,14.56
385,Husavik,64,CA,1554691803,94,50.56,-96.99,39.0,3.94
386,Molagavita,40,CO,1554688800,88,6.67,-72.81,71.6,2.24
387,Sorland,88,NO,1554692075,100,67.67,12.69,37.08,10.42
388,Hualmay,68,PE,1554692291,90,-11.1,-77.61,66.33,0.92
389,Veraval,0,FR,1554692093,93,49.65,0.71,42.01,2.24
390,La Grande,92,US,1554692112,91,45.32,-118.09,48.0,2.37
391,Mana,0,RS,1554690600,76,43.52,20.24,50.0,2.24
392,Jackson,90,US,1554692107,100,35.61,-88.82,66.99,4.7
393,San Patricio,20,PY,1554692065,87,-26.98,-56.83,62.1,2.48
394,Anori,92,BR,1554692292,99,-3.74,-61.66,74.7,2.71
395,Shingu,20,JP,1554688800,63,33.72,135.99,62.6,14.99
396,Songea,40,TZ,1554688800,94,-10.68,35.65,68.0,1.25
397,Dalbandin,0,PK,1554692293,34,28.9,64.41,66.6,8.86
398,San Rafael del Sur,20,NI,1554688800,62,11.85,-86.44,84.2,11.41
399,Mitu,64,IR,1554692293,91,36.2,46.09,39.06,2.26
400,Hofn,92,IS,1554692112,100,64.25,-15.21,36.09,12.88
401,Chokurdakh,24,RU,1554691951,100,70.62,147.9,18.45,4.27
402,Myitkyina,48,MM,1554692294,93,25.38,97.4,67.95,2.04
403,Salalah,40,OM,1554688200,78,17.01,54.1,78.8,3.36
404,Labuhan,88,ID,1554692170,89,-2.54,115.51,80.46,2.82
405,Port Hedland,12,AU,1554688800,66,-20.31,118.58,89.6,5.82
406,Khorramshahr,0,IR,1554688800,68,30.43,48.18,68.0,2.24
407,Bathsheba,20,BB,1554688800,73,13.22,-59.52,77.0,18.34
408,Nalut,24,LY,1554692294,53,31.86,10.98,54.0,9.86
409,Sayyan,0,YE,1554692295,79,15.17,44.32,42.48,1.03
410,Tessalit,0,ML,1554691965,38,20.2,1.01,52.83,4.72
411,Havoysund,80,NO,1554690000,68,71.0,24.66,24.8,11.41
412,Moranbah,0,AU,1554692295,43,-22.0,148.04,84.78,12.77
413,Puerto Suarez,0,BO,1554692295,86,-18.96,-57.8,66.69,5.06
414,Stephenville,90,US,1554692113,82,32.22,-98.2,68.0,3.36
415,San Agustin,0,VE,1554692296,72,10.2,-63.54,68.04,2.48
416,Morbach,0,DE,1554692116,76,49.52,10.62,50.0,1.12
417,Serebryanyy Bor,32,RU,1554692296,56,56.8,124.8,30.69,4.16
418,Pudozh,12,RU,1554692297,72,61.81,36.54,19.26,3.38
419,Dubbo,8,AU,1554690600,19,-32.25,148.6,87.8,8.05
420,Hegang,0,CN,1554692297,68,47.34,130.28,45.54,6.73
421,Chapais,1,CA,1554688800,43,49.78,-74.86,14.0,8.05
422,Morehead,40,US,1554691609,93,38.18,-83.43,62.01,5.82
423,Longyearbyen,20,NO,1554688200,71,78.22,15.63,6.8,3.36
424,Odessa,1,US,1554691937,45,31.85,-102.37,72.0,6.93
425,Burns Lake,20,CA,1554692298,48,54.23,-125.76,37.26,7.52
426,Tyrma,32,RU,1554692298,48,50.04,132.17,42.3,3.6
427,Imbituba,75,BR,1554688800,83,-28.24,-48.67,69.8,11.41
428,Ulladulla,0,AU,1554691587,27,-35.36,150.48,86.0,6.93
429,Rodrigues Alves,0,BR,1554688800,94,-7.74,-72.65,71.6,4.05
430,Bernay,0,FR,1554692093,93,49.09,0.6,42.01,2.24
431,Marfino,0,RU,1554691211,69,56.07,37.56,37.99,8.95
432,Wanning,75,AT,1554692225,81,48.64,13.53,50.0,5.82
433,De Aar,92,ZA,1554692046,98,-30.65,24.01,55.35,4.16
434,Iqaluit,90,CA,1554691322,85,63.75,-68.52,14.0,24.16
435,Fort Nelson,75,CA,1554688800,69,58.81,-122.69,39.2,4.7
436,Porto Empedocle,64,IT,1554692174,77,37.29,13.53,46.0,4.0
437,Isangel,20,VU,1554688800,61,-19.55,169.27,82.4,9.17
438,Richards Bay,8,ZA,1554692097,99,-28.77,32.06,64.26,3.71
439,Karratha,32,AU,1554691943,36,-20.74,116.85,96.03,4.72
440,Kologriv,0,RU,1554692300,94,58.83,44.31,31.23,5.84
441,North Platte,1,US,1554692114,47,41.12,-100.77,60.01,4.7
442,Magnitka,56,RU,1554692301,85,55.34,59.7,35.28,5.5
443,Vite,40,ES,1554692297,100,42.89,-8.54,54.0,3.36
444,Coihaique,90,CL,1554688800,87,-45.58,-72.07,57.2,5.82
445,Masallatah,0,LY,1554692246,78,32.62,14.0,52.2,14.79
446,Sur,8,OM,1554692080,78,22.57,59.53,82.62,9.75
447,Esperantina,20,BR,1554692302,89,-3.89,-42.23,77.58,6.4
448,Ahipara,76,NZ,1554692162,85,-35.17,173.16,64.8,18.7
449,Fenoarivo,20,MG,1554690600,93,-18.93,47.44,60.8,5.82
450,Muros,40,ES,1554692177,100,42.77,-9.06,55.0,3.36
451,Yarada,20,IN,1554690600,79,17.65,83.27,84.2,12.75
452,Ballina,80,IE,1554692292,88,54.11,-9.15,46.99,1.99
453,Mae Hong Son,0,MM,1554688800,51,19.3,97.96,80.6,2.59
454,Pathein,0,MM,1554691710,65,16.78,94.73,88.74,7.4
455,Verkhnevilyuysk,0,RU,1554692303,60,63.45,120.31,36.09,6.96
456,Terrace,75,CA,1554688800,87,54.52,-128.61,42.8,19.46
457,Pevek,8,RU,1554692086,87,69.7,170.27,8.46,2.71
458,Mount Gambier,75,AU,1554688800,82,-37.83,140.78,60.8,16.11
459,Huambo,32,AO,1554692303,95,-12.78,15.73,57.15,2.37
460,Ban Nahin,0,LA,1554692304,72,18.24,104.21,84.24,2.37
461,Letnyaya Stavka,92,RU,1554692304,95,45.43,43.44,49.32,7.18
462,Port-Cartier,5,CA,1554689602,51,50.03,-66.88,16.0,2.24
463,Talcahuano,90,CL,1554688800,100,-36.72,-73.12,51.8,5.82
464,Kalabo,24,ZM,1554692304,88,-15.0,22.67,65.88,3.15
465,Novonikolayevskaya,8,RU,1554692305,91,45.59,38.37,48.6,10.76
466,Simoes,44,BR,1554692255,89,-7.6,-40.82,71.37,5.39
467,Pangnirtung,80,CA,1554692152,93,66.15,-65.72,17.1,3.49
468,Itarema,12,BR,1554692070,96,-2.92,-39.92,75.33,6.73
469,Saint Anthony,1,US,1554692109,57,43.97,-111.68,51.8,16.11
470,Mogadishu,20,SO,1554691822,100,2.04,45.34,82.53,9.19
471,Eyemouth,20,GB,1554692103,87,55.87,-2.09,44.6,10.29
472,Razdolinsk,12,RU,1554692306,73,58.42,94.62,30.06,4.72
473,Carlisle,20,GB,1554692299,100,54.89,-2.94,46.99,14.99
474,Iralaya,0,HN,1554692306,94,15.0,-83.23,76.41,5.95
475,Swan River,8,CA,1554692306,88,52.11,-101.27,35.1,4.61
476,Nikolayevsk-na-amure,8,RU,1554692307,86,53.14,140.72,30.42,9.98
477,Barga,40,IT,1554692297,100,44.07,10.48,45.0,2.24
478,Rivas,44,NI,1554692307,65,11.44,-85.83,83.79,13.44
479,San Rafael,0,AR,1554692219,47,-34.61,-68.33,58.23,6.4
480,Port Lincoln,68,AU,1554692141,83,-34.72,135.86,67.41,19.6
481,Muroto,20,JP,1554688800,45,33.37,134.14,66.2,9.17
482,Egvekinot,20,RU,1554692194,80,66.32,-179.17,12.6,9.19
483,Beringovskiy,64,RU,1554691965,90,63.05,179.32,13.86,26.53
484,DAULTALA,0,PK,1554692235,62,33.19,73.14,72.0,1.01
485,Nanning,0,CN,1554688800,74,22.83,108.3,80.6,4.47
486,Buchanan,88,LR,1554691943,100,5.88,-10.05,74.7,8.75
487,Ucluelet,48,CA,1554691448,90,48.94,-125.55,51.01,1.48
488,Semirom,76,IR,1554692309,89,31.41,51.57,36.0,2.48
489,Nadvoitsy,76,RU,1554692309,82,63.89,34.27,26.64,2.59
490,Riberalta,76,BO,1554692309,78,-11.0,-66.08,73.62,3.38
491,Morgan City,40,US,1554692291,100,29.7,-91.21,68.0,9.31
492,Tumpat,75,MY,1554688800,70,6.2,102.17,87.8,3.36
493,Utrera,40,ES,1554691958,93,37.18,-5.78,60.01,6.93
494,Talara,20,PE,1554692310,72,-4.58,-81.27,73.35,5.28
495,Camacha,20,PT,1554690600,77,33.08,-16.33,60.8,8.05
496,Cervia,48,IT,1554692304,76,44.26,12.35,51.01,9.17
497,Batemans Bay,12,AU,1554691887,66,-35.71,150.18,79.0,3.0
498,Adwa,0,ET,1554692311,86,14.16,38.9,49.32,2.37
499,Boralday,75,KZ,1554690600,75,43.36,76.86,42.8,2.24
500,Cayenne,92,GF,1554690600,94,4.94,-52.33,77.0,4.7
501,Kidal,0,ML,1554692311,27,18.44,1.41,61.2,8.86
502,Madurai,20,IN,1554690600,83,9.93,78.11,82.4,2.93
503,Te Karaka,92,NZ,1554692312,91,-38.47,177.87,54.27,5.39
504,Lucapa,56,AO,1554692312,96,-8.42,20.74,67.05,2.82
505,Omboue,92,GA,1554692136,100,-1.57,9.26,83.16,4.83
506,Lahat,0,ID,1554692312,98,-3.78,103.55,83.88,2.59
507,Normandin,5,CA,1554688800,52,48.84,-72.53,19.4,3.36
508,Manjacaze,0,MZ,1554692252,90,-24.71,33.88,67.68,2.93
509,La Ronge,90,CA,1554688800,85,55.1,-105.3,24.8,9.17
510,Bilibino,0,RU,1554692313,67,68.06,166.44,26.1,3.04
511,Seddon,0,NZ,1554691781,74,-41.67,174.07,66.0,4.0
512,Samarai,92,PG,1554692313,100,-10.62,150.67,78.66,6.96
513,Tarnow,12,DE,1554691935,80,53.78,12.02,43.0,1.12
514,Yumen,92,CN,1554692314,66,40.29,97.04,42.3,12.66
515,Sinnamary,80,GF,1554692097,94,5.38,-52.96,80.01,12.21
516,Barauna,20,BR,1554692314,91,-14.07,-42.49,65.16,2.71
517,Norrtalje,92,SE,1554692284,83,59.76,18.7,36.0,13.87
518,Hedaru,92,TZ,1554692314,93,-4.5,37.91,69.3,3.15
519,Kawalu,48,ID,1554692124,81,-7.38,108.21,77.13,1.7
520,Kaitong,0,CN,1554692315,56,44.81,123.15,49.5,8.75
521,Santa Maria del Oro,0,MX,1554692315,23,25.95,-105.37,55.8,5.95
522,Gerede,0,TR,1554692315,81,40.8,32.2,31.5,2.37
523,Comodoro Rivadavia,0,AR,1554688800,76,-45.87,-67.48,55.4,2.24
524,Bubaque,44,GW,1554692315,100,11.28,-15.83,79.65,9.42
525,Medvedevo,0,RU,1554690600,74,54.96,60.77,35.6,6.71
526,Batagay-Alyta,0,RU,1554692316,83,67.8,130.41,26.1,4.16
527,Mackenzie,90,CA,1554688800,36,55.34,-123.09,48.2,4.7
528,Hit,0,IQ,1554692316,90,33.64,42.83,54.36,5.28
529,Sabang,80,PH,1554692316,82,13.72,123.58,82.62,8.63
530,Humaita,0,AR,1554688800,87,-24.93,-65.37,59.0,4.7
531,Santiago del Estero,0,AR,1554692317,85,-27.8,-64.26,57.15,5.73
532,Christchurch,0,NZ,1554691987,67,-43.53,172.64,62.6,13.87
533,Saint-Pierre,0,FR,1554691925,93,48.95,4.24,48.2,8.05
534,Mossendjo,92,CG,1554692317,97,-2.95,12.72,70.92,2.48
535,Ullapool,8,GB,1554692105,71,57.9,-5.16,44.01,4.0
536,Marquette,90,US,1554692125,93,46.54,-87.4,45.0,4.7
537,Burnie,76,AU,1554692203,57,-41.05,145.91,61.0,8.99
538,Dunedin,12,NZ,1554692065,65,-45.87,170.5,61.0,18.01
539,Leshukonskoye,44,RU,1554692318,94,64.9,45.76,29.25,5.28
540,Wawa,64,NG,1554692319,85,9.9,4.41,77.22,9.75
541,Ancud,44,CL,1554688800,100,-41.87,-73.83,57.2,4.7
542,Xuanwu,8,CN,1554692276,54,32.07,118.81,87.01,6.71
543,Ronneby,92,SE,1554692001,69,56.21,15.28,39.2,6.93
544,Hirara,40,JP,1554688800,78,24.8,125.28,80.6,3.36
545,Great Falls,75,US,1554692100,57,47.5,-111.29,48.99,19.46
546,Sechura,8,PE,1554692320,77,-5.56,-80.82,73.98,10.2
547,Zhigalovo,0,RU,1554692320,43,54.81,105.15,38.97,3.04
548,Amahai,8,ID,1554692320,100,-3.31,129.0,84.33,4.16
549,Zhanakorgan,92,KZ,1554692046,56,43.91,67.25,49.86,5.28
550,Mersing,48,MY,1554692320,76,2.43,103.84,86.76,8.75
551,Abhar,0,IR,1554692320,81,36.14,49.22,35.19,4.27
552,Hovd,75,NO,1554692101,86,63.83,10.7,34.0,2.24
553,Bukama,88,CD,1554692321,94,-9.2,25.85,69.48,3.27
554,Zorritos,90,PE,1554688800,33,-3.68,-80.68,89.6,2.24
555,Wewak,76,PG,1554692321,78,-3.55,143.63,84.6,2.59
556,Puquio,20,PE,1554692322,88,-14.69,-74.12,36.54,1.36
557,Wichita Falls,1,US,1554692110,82,33.91,-98.49,66.99,5.82
558,Gari,80,RU,1554692322,80,59.43,62.35,37.08,6.96
559,Havre,1,US,1554691598,39,48.55,-109.68,53.6,16.11
560,North Bend,90,US,1554692117,93,43.41,-124.22,57.2,8.05
561,Nauta,20,PE,1554692323,85,-4.51,-73.58,75.33,6.96
562,San Miguel,0,AR,1554692297,72,-34.54,-58.72,66.99,6.85
563,Jacareacanga,56,BR,1554692326,94,-6.22,-57.76,72.9,2.15
564,Heyang,0,CN,1554692326,54,26.1,107.47,77.58,13.44
565,Usinsk,76,RU,1554692326,88,66.0,57.56,21.87,2.93
